                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     55,                 1.3374,                 3.6917,                0.31245,                 1.4139,                0.87754,                 1.4139,                0.93205,                0.88474,                0.93027,                0.47477,                0.92801,                0.88785,                0.94429,                0.39788,                0.89617,                 0.8604,                0.88785,                0.53271,                 1.6261,                 2.8565,                0.10686,                 1.1159,                0.92096,                 1.5658,             0.00073765,             0.00073765,             0.00073765
                     56,                 1.3321,                 3.7143,                0.34668,                 1.3753,                0.87795,                 1.4146,                 0.9371,                0.90654,                0.93832,                0.51403,                0.93945,                0.91838,                0.96548,                0.41548,                0.95751,                0.91267,                0.94417,                0.55414,                 1.5573,                 2.7429,                0.10785,                   1.11,                0.87099,                 1.5428,              0.0007327,              0.0007327,              0.0007327
                     57,                 1.2959,                   3.65,                0.32833,                 1.3091,                0.86191,                 1.3897,                0.94237,                0.91692,                0.93854,                0.47648,                0.94877,                0.92315,                0.95763,                0.46471,                0.91833,                0.87577,                0.91363,                0.55022,                 1.6497,                 2.6666,                0.10745,                 1.1197,                0.89302,                 1.5587,             0.00072775,             0.00072775,             0.00072775
                     58,                 1.2952,                 3.6449,                0.36427,                  1.335,                0.86767,                 1.3594,                0.95212,                0.93146,                0.95546,                0.51614,                0.95879,                0.94219,                0.95742,                 0.4627,                0.92395,                0.90833,                0.90672,                0.53007,                 1.5385,                 2.5842,                0.10765,                 1.1168,                0.87326,                 1.5273,              0.0007228,              0.0007228,              0.0007228
                     59,                 1.2661,                 3.4942,                0.32569,                 1.2553,                0.85042,                 1.3619,                0.95225,                0.90654,                0.94123,                0.47629,                 0.9588,                0.91277,                0.95633,                0.49571,                0.95225,                0.90654,                0.93586,                0.54021,                 1.7089,                 2.5095,                0.10618,                 1.0724,                0.91697,                 1.6074,             0.00071785,             0.00071785,             0.00071785
                     60,                  1.308,                  3.541,                0.31114,                 1.3549,                0.84321,                  1.366,                0.91796,                0.90966,                0.93616,                0.50455,                 0.9343,                0.93146,                0.95678,                0.50751,                0.91862,                0.91426,                0.91105,                0.50206,                 1.5574,                 2.5801,                0.10957,                 1.1058,                0.86882,                 1.5266,              0.0007129,              0.0007129,              0.0007129
                     61,                 1.2403,                 3.4931,                0.31271,                 1.3045,                0.82366,                 1.3348,                0.95081,                0.90654,                0.94115,                0.52728,                0.95374,                0.90966,                0.96082,                0.49217,                 0.9524,                0.90966,                0.94257,                0.52934,                 1.4604,                 2.5636,                0.10873,                 1.1049,                0.85963,                 1.4652,             0.00070795,             0.00070795,             0.00070795
                     62,                 1.2491,                 3.5477,                 0.3299,                 1.2812,                0.84578,                 1.3479,                0.95095,                0.90343,                0.95278,                0.49271,                0.95095,                0.90343,                0.95862,                0.48219,                  0.912,                0.90398,                0.89748,                0.55906,                 1.6122,                 2.4579,                0.10569,                 1.0577,                0.87146,                 1.5401,               0.000703,               0.000703,               0.000703
                     63,                 1.2527,                 3.4537,                0.32168,                 1.2762,                0.83614,                 1.3475,                0.95231,                0.90966,                0.94702,                0.45825,                0.95883,                0.91589,                0.96481,                0.49985,                 0.9413,                0.89914,                0.91707,                0.55741,                 1.7671,                 2.3927,                0.10451,                 1.0671,                0.89936,                 1.5893,             0.00069805,             0.00069805,             0.00069805
                     64,                 1.2248,                 3.2098,                0.31198,                 1.2987,                0.81588,                 1.3483,                0.95861,                0.90966,                0.94591,                 0.5117,                0.96517,                0.91589,                  0.969,                0.50933,                0.93839,                0.90158,                 0.9203,                0.58653,                 1.5717,                 2.3557,                0.10446,                  1.056,                0.82556,                 1.5227,              0.0006931,              0.0006931,              0.0006931
